,tres,res_rents,p-value,r-squared,N
0,0.0,-0.00199,0.037,0.795,2076.0
1,1.0,-0.00253,0.025,0.664,1470.0
2,2.0,-0.00197,0.121,0.647,1251.0
3,3.0,-0.00125,0.373,0.607,1121.0
4,4.0,-0.00071,0.628,0.614,1004.0
5,5.0,-0.00098,0.546,0.585,908.0
6,6.0,-0.00094,0.571,0.602,835.0
7,7.0,-0.0005,0.778,0.592,746.0
8,8.0,-0.00053,0.786,0.573,667.0
9,9.0,-0.00108,0.604,0.575,597.0
10,10.0,-0.00042,0.855,0.578,526.0
11,11.0,0.00067,0.788,0.55,469.0
12,12.0,0.00141,0.587,0.551,434.0
13,13.0,0.0014,0.605,0.555,401.0
14,14.0,0.00171,0.559,0.551,364.0
15,15.0,0.00158,0.61,0.542,335.0
16,16.0,0.00204,0.547,0.526,303.0
17,17.0,0.00313,0.389,0.517,278.0
18,18.0,0.00185,0.631,0.525,264.0
19,19.0,-2e-05,0.995,0.532,240.0
20,20.0,0.00149,0.723,0.533,223.0
21,21.0,0.00108,0.807,0.515,215.0
22,22.0,0.00279,0.546,0.511,203.0
23,23.0,0.00206,0.679,0.492,192.0
24,24.0,0.00315,0.554,0.457,171.0
25,25.0,0.00442,0.473,0.447,149.0
26,26.0,0.00339,0.596,0.525,138.0
27,27.0,0.00268,0.697,0.518,132.0
28,28.0,0.00247,0.737,0.515,124.0
29,29.0,0.00548,0.524,0.379,109.0
